Categor≠a de producto,Nombre de producto,DescripciΩn,Precio
Entradas,Sashimi 3 cortes,SalmΩn o atún,4000
Entradas,Niguiris de salmΩn 4 und,Deditos de arroz de sushi cubiertos de salmΩn,3800
Entradas,Sashimi mixto 3 cortes,SalmΩn y atún,4000
Entradas,Papas fritas pequeœas,Papas fritas pequeœas,3000
Entradas,Sashimi 6 cortes,SalmΩn o atún,7000
Entradas,Niguiris de camarΩn 4 unides,Deditos de arroz cubiertos de camarΩn eby,3800
Entradas,Hosomakis,Rollitos de sushi en alga Noris con la prote≠na y queso crema,3000
Entradas,Sashimi mixto 9 cortes,SalmΩn y atún,9500
Entradas,Sashimi mixto 6 cortes,SalmΩn y atun,7000
Entradas,Niguiris rainbow 6 und,Niguiris de pescados surtidos y palta,4500
Entradas,Sashimi 9 cortes,SalmΩ o atún,9500
Entradas calientes,"Giozas de pollo, cerdo o verduras",Empanaditas chinas rellenas,5500
Entradas calientes,Champi cheese,5 unidades champiœones rellenos con una deliciosa mezcla de queso crema y verduras,5000
Entradas calientes,Ensalada marina,"Lechuga, cortes fino de pescado y camarΩn, palta.",5500
Entradas calientes,Ensalada dinamita,Deliciosa combinaciΩn de wacame y kanikama aderezados con un toque de salsa acevichada,5000
Entradas calientes,Croquetas de salmΩn,5 unidades croquetas de salmΩn con salsa tˇrtara,5000
Entradas calientes,Wakame,Ricas algas marinas aderezadas,5000
Entradas calientes,Giozas de camarΩn 5 unidades,Empanaditas china rellenas de camarones,6500
Entradas calientes,Ensalada verde,"Lechuga, palta, pepino,palmito,apio.",6500
Entradas calientes,Pollo kids,5 unidades de tiritas de pollo apanado con salsa tˇrtara o acevichada,5900
Entradas calientes,Arrollados primavera,"5 unidades de arrollados primavera o de jamΩn y queso, con salsa soya o tery",6000
Entradas calientes,Eby furay,5 unidades de camarones apanados con salsa tˇrtara,6000
Entradas calientes,Eby balls,"5 unidades de bolitas de queso y camarΩn,apanados,con salsa fuji",6500
Entradas calientes,Eby cheese,"5 unidades de camarones con queso crema,apanados ,con salsa tˇrtara",6500
Entradas calientes,Eby cheese,"5 unidades de camarones con queso crema,apanados ,con salsa tˇrtara",6000
Entradas calientes,Eby cheese,"5 unidades de camarones con queso crema,apanados ,con salsa tˇrtara",6000
Entradas calientes,Ensalada verde con pollo,"Lechuga, palta, pepino,palmito,apio trozos de pollo a la plancha.",6500
Rolls california,1 California roll,"Kanikama,pepino,palta en masago",8000
Rolls california,2 Alaska roll,"SalmΩn, queso crema, palta en sesamo",7000
Rolls california,3 Eby California,"CamarΩn apanados, queso crema y ceboll≠n en sesamo o ciboulette",7000
Rolls california,4 Chiken California,"Pollo apanado, queso crema y ceboll≠n en sesamo o ciboulette",6500
Rolls california,5 Tery California,"Pollo Teriyaki, queso crema y pimentΩn en ciboulette o s?samo",6500
Rolls california,6 Tuna California,"Atún,queso crema y pepino en mix de s?samo,ciboulette y massgo",6500
Rolls california,7 Eby fresh,"CamarΩn, queso crema, palta en sesamo",7000
Rolls california,8 Mango California,"Mango, queso crema, kanikama apanado, en sesamo o ciboulette",7500
Rolls tradicionales,9.5 Avocado de camarΩn,"CamarΩn, queso crema,   palta",7000
Rolls tradicionales,9 Avocado de salmΩn,"SalmΩn, queso crema en palta",7500
Rolls tradicionales,10 eby roll,"CamarΩn, queso crema, palta en salmΩn",7000
Rolls tradicionales,11 maguro roll,"Atún, palta,en queso crema",8000
Rolls tradicionales,12 chicken tery,"Pollo Teriyaki, queso crema y ceboll≠n en palta",6000
Rolls tradicionales,13 Chicken krispy,"Pollo apanado,queso crema,ceboll≠n en palta",7600
Rolls tradicionales,14 Zetsu,"Pollo apanado, palta, ceboll≠n en queso flameado con salsa tery",6000
Rolls tradicionales,15 eby sake roll,SalmΩn camarΩn apanados y ceboll≠n envuelto en palta,6000
Rolls tradicionales,16 eby exotic,CamarΩn queso crema y mango envuelto en salmon,6000
Rolls tradicionales,17 eby cheese,CamarΩn apanado palta en queso crema flameado con salsa tery,5500
Rolls tradicionales,18.5 Killua,"Pollo apanado, palta, cebollin en queso crema.",7000
Rolls tradicionales,18 ichiro roll,SalmΩn palta y ceboll≠n envuelto en atún y salsa acebichada,6500
Rolls de la casa oishi,19 Fuji roll,CamarΩn apanado queso crema con toppings de camarΩn tempura baœados con salsa fuji,5800
Rolls de la casa oishi,20 eby abocado,"SalmΩn,camarΩn queso crema envuelto en palta",8000
Rolls de la casa oishi,21 Alaska fresh,"SalmΩn,queso crema,mango,envuelto en palta y salmon",7500
